iter	Passed	Remaining
0	1	129
1	2	139
2	4	139
3	5	128
4	6	131
5	8	133
6	9	127
7	10	124
8	12	121
9	13	120
10	15	122
11	16	120
12	17	118
13	18	116
14	21	119
15	22	117
16	23	114
17	25	114
18	26	114
19	28	112
20	29	110
21	30	108
22	32	107
23	33	106
24	34	104
25	36	102
26	37	101
27	38	99
28	39	97
29	41	96
30	42	94
31	44	93
32	45	92
33	46	90
34	48	89
35	49	87
36	50	86
37	52	85
38	53	83
39	54	82
40	56	80
41	57	79
42	59	78
43	60	76
44	61	75
45	62	73
46	64	72
47	65	71
48	66	69
49	68	68
50	69	66
51	70	64
52	71	63
53	73	62
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	82	52
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	91	43
68	92	41
69	94	40
70	96	39
71	97	37
72	98	36
73	100	35
74	101	33
75	102	32
76	104	31
77	105	29
78	106	28
79	108	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	116	18
86	117	17
87	119	16
88	120	14
89	122	13
90	123	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
